,max_v_up,mean_v_up,min_v_up,max_v_dn,mean_v_dn,min_v_dn,max_v_dup,mean_v_dup,min_v_dup,max_v_ddn,mean_v_ddn,min_v_ddn,max_v_aup,mean_v_aup,min_v_aup,max_v_adn,mean_v_adn,min_v_adn,max_i_up,mean_i_up,min_i_up,max_i_dn,mean_i_dn,min_i_dn,max_i_dup,mean_i_dup,min_i_dup,max_i_ddn,mean_i_ddn,min_i_ddn,max_i_aup,mean_i_aup,min_i_aup,max_i_adn,mean_i_adn,min_i_adn,max_r_up,mean_r_up,min_r_up,max_r_dn,mean_r_dn,min_r_dn,max_r_dup,mean_r_dup,min_r_dup,max_r_ddn,mean_r_ddn,min_r_ddn,max_r_aup,mean_r_aup,min_r_aup,max_r_adn,mean_r_adn,min_r_adn,No
count,4466.0,4466.0,4466.0,4466.0,4466.0,4466.0,4466.0,4466.0,4466.0,4466.0,4466.0,4466.0,4466.0,4466.0,4466.0,4466.0,4466.0,4466.0,4466.0,4466.0,4466.0,4466.0,4466.0,4466.0,4466.0,4466.0,4466.0,4466.0,4466.0,4466.0,4466.0,4466.0,4466.0,4466.0,4466.0,4466.0,4462.0,4462.0,4462.0,4462.0,4462.0,4462.0,4466.0,4466.0,4466.0,4466.0,4466.0,4466.0,4466.0,4466.0,4466.0,4466.0,4466.0,4466.0,4466.0
mean,0.022331629148040405,0.00211801273391079,0.0002172291253949696,0.029037666651458852,0.004002755343377409,0.0006177085984641045,0.02855598839625107,0.0025581922912331647,0.0005414947364440777,0.031208442622150223,0.0040073935732141295,0.0008105263024888805,2.552846270949667,0.2698436746760912,0.03257710329036986,3.4197479908306314,0.37996924123940296,0.05926400987655318,24.37374928259843,11.179657839821468,-0.08318119126362686,0.18939956532196675,-10.778638198983218,-23.63538600775541,1.2725014126140253,0.20974580939801227,0.010855053006968707,0.9637812122372954,0.19801445489103556,0.01002383103127173,14096.91025270813,6498.366991313458,302.6116055722211,386.32450504126905,35.51855401378687,0.0,51351.74799220282,7395.891121120151,716.6315856001498,48426.14069868505,7029.570900475801,716.1360769786171,inf,inf,739.8225591187073,inf,inf,747.1735643965234,inf,inf,26515.712976953626,inf,inf,26312.262501582918,180.27742946708463
std,0.1316706254794645,0.006172205689192151,0.0010896512226483987,0.09884479811220172,0.008791211994115127,0.00228182903378637,0.15752510578534534,0.007309484091408847,0.0009906761075129792,0.12572190276426912,0.009204690848286793,0.001908802718758518,36.316052650617706,1.6127978956595739,0.0766336205865368,25.936419242585508,1.2422844313278683,0.16739715332389313,6.117858367164643,2.160908739976542,1.444383174255346,1.3495301741467607,2.117719370219586,5.127865539003364,4.459856011884515,0.4534794623062029,0.02666191397820796,2.549247888842552,0.401747293667656,0.019492780352293328,3486.0644857384254,1423.57015032293,605.1203237900457,276.51980089016166,37.23612380202178,0.0,1083162.751944898,115013.90439161645,3303.4996771032156,835040.2275317851,88797.96314367848,3352.7525488402134,,,3310.0240305832504,,,3334.890059528847,,,73679.25544216183,,,77012.17979335906,113.4426852489026
min,-0.0006972529763843,-0.0018334900535722,-0.0140269855433207,-0.000420540633812,-0.0012921317168499,-0.0320861076976346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.903504321298904,4.130726189956405,-0.9952876110196152,-6.756993687441158,-16.225317613047793,-46.33659307978745,0.0,0.0,0.0,0.0,0.0,0.0,642.6670926356111,377.6680419826509,0.0,0.0,0.0,0.0,4.440892098500626e-16,-2.896233977283017e-17,-0.9494156802555228,4.440892098500626e-16,2.896233977283017e-17,-6.562115313355694,0.0,0.0,0.0,0.0,0.0,0.0,2.664535259100376e-13,5.2132211591094316e-14,0.0,2.664535259100376e-13,6.950961545479242e-14,0.0,0.0
25%,0.00102754347966995,0.0004100656443052,-0.00012944159865599999,0.0012203948299536749,0.00048710977084335004,-8.751825682745684e-05,0.000998299220872525,0.000478210006862725,0.0001324183803137,0.0011506430339816,0.0005343580130787,0.0001315588126176,0.14008924221476304,0.03776283993771755,0.0,0.18991449679065348,0.050734578529443006,0.0,20.464879445774702,9.698072482528271,-0.9867354976848434,-0.4693054307914264,-12.35283248005183,-26.795310815805777,0.17898351479201904,0.06801453240171225,0.0045553093477052,0.1801877919758929,0.06932732353473428,0.0042280601129568995,11905.274469411874,5626.536184973381,0.0,0.0,0.0,0.0,286.25056046769265,141.75078621987788,70.89184704602724,277.6842671050016,132.76026334195635,64.04544686006717,309.9107788762961,158.01159058557232,79.32894869825104,319.50522730792306,152.26932032872432,75.12248621473195,13553.3065657816,7465.89483819958,4635.660938128358,12490.781291217365,6703.101039755896,3956.6841347327127,85.0
50%,0.0017920174357112999,0.00073887950474455,0.00017328490220385,0.0025812864072725997,0.00094729693869905,0.00022860231138745,0.0017141321273069,0.00080479131448925,0.0003142178504139,0.00200619304157795,0.00087743512807925,0.00033456771838434997,0.3106786406035475,0.0971358089161253,0.00345293785853625,0.4260204110195636,0.1439250585444159,0.0062186059584665,23.937054912984742,11.329365525681617,-0.9823896278473772,0.9954795972373348,-10.953257695620113,-23.52018302114589,0.25357888702225573,0.0903306536951745,0.0069115038378978,0.2579422101522421,0.09111643127797414,0.0067718774977379,14094.371507900738,6671.431553114581,0.0,593.155115379651,25.90491716307852,0.0,756.2472832715256,322.2127711620141,143.77346861348818,727.1496345084979,313.04482973007185,134.90095371162732,818.6464625715137,359.1570264144183,160.1248501580909,810.5353929063157,346.5142456294742,153.8061343638745,28314.762529932952,15724.171050859037,9531.345275420805,26980.015886350076,14268.223160785488,8706.744356447452,171.0
75%,0.0042240667045947,0.0013861348208686,0.0004530592514384,0.007178965462569575,0.002391113301546975,0.00058081195565445,0.005790220797603825,0.001649117721100575,0.000576346464267825,0.00696956517041705,0.001933651092240875,0.0006034419631494,0.6879466930094202,0.22946781867810384,0.029166166140370473,1.1590072404733718,0.3711262530262588,0.04711551143463113,27.29524729007016,12.72418941006359,0.7474192837735929,0.9997556539047204,-9.242427342517566,-19.971509772820948,0.45024258713697657,0.1284693229161728,0.010471975511965749,0.4882340416297643,0.13516076350055808,0.0098611102737679,16159.84027376297,7503.518302048295,353.49122508274985,596.7310681241844,51.81504223687723,0.0,3018.37791378513,1064.0103358071692,386.93050490507596,2968.1550879893693,1019.2773820763546,368.085715297337,3233.448468580477,1131.2100537226042,413.66432385437963,3130.734274097088,1104.2334312628043,403.32307397840896,71787.63716038543,36568.53610570516,22440.728841674354,70598.76512036273,34895.33156948725,20853.65070917315,262.0
max,4.762613799287028,0.207534598970971,0.0105562878660021,0.99936228070175,0.1048009070019587,0.028161094003767,5.491524869995055,0.2392671075647482,0.0142699556475089,4.461881732688433,0.1946768785919023,0.0286259660017312,2354.536450118363,102.41452015818402,1.1222284106045934,549.0356321410958,24.09365802809258,2.197031218879601,131.13681817997332,19.35829061664916,6.872377404290503,1.0000000000000002,-3.564440455048352,-8.583044417340226,125.27397412162138,7.7486684669091455,0.7805461480769043,29.04013199820569,4.070412110011668,0.4738394386239406,30986.726236733903,9782.755415605188,4078.3165929140855,598.8987496018685,172.31676325051623,0.0,47965499.00008516,4958655.437990206,69062.49583828813,30014888.50004808,3166081.8793743546,80583.12357528458,inf,inf,69388.8228299647,inf,inf,74816.07678464275,inf,inf,3210109.7150569744,inf,inf,3320232.210557874,478.0
