0,pre,rec,F1
76.25160462130937,79.5969707694264,56.362392464317104,57.528444545445055
75.22464698331194,71.82642998027613,55.28256420413283,56.03660593792172
77.79204107830552,84.56284456284456,58.658638697861456,60.36448367771139
79.33247753530168,84.90842490842492,58.199581007479516,64.3986328590337
78.17715019255456,85.8277542870566,59.71394263523641,61.78084206655635
74.71116816431322,82.64221158958,48.04643498100312,50.096332425383395
78.43388960205392,80.03275224795848,62.237965661783434,63.19252996911079
81.89987163029525,81.6582504377002,71.799020554716,74.47194797227058
74.58279845956355,77.57314524555903,46.25670494969086,49.35209819127251
78.5622593068036,78.62054161384019,62.564607134296224,63.75370833045116
